LightPink1	#ffbdc5
pink4	#9d777f
pink3	#d7a3ad
pink2	#f2b9c4
pink1	#ffc3cf
HotPink4	#9e4f75
HotPink3	#d878a1
HotPink2	#f383b5
HotPink1	#ff87c1
DeepPink4	#9e1e62
DeepPink3	#d82e88
DeepPink2	#f4359a
DeepPink1	#ff39a3
red4	#9e1200
red3	#d81e00
red2	#f42300
red1	#ff2600
OrangeRed4	#9e3500
OrangeRed3	#d84c00
OrangeRed2	#f35700
OrangeRed1	#ff5d00
tomato4	#9e4832
tomato3	#d86548
tomato2	#f37252
tomato1	#ff7a58
coral4	#9e513d
coral3	#d87056
coral2	#f38062
coral1	#ff8868
DarkOrange4	#9d5700
DarkOrange3	#d87a00
DarkOrange2	#f38900
DarkOrange1	#ff9200
orange4	#9d6c00
orange3	#d79600
orange2	#f2a900
orange1	#ffb300
LightSalmon4	#9d6a53
LightSalmon3	#d79474
LightSalmon2	#f2a684
LightSalmon1	#ffb08c
salmon4	#9d5f49
salmon3	#d78466
salmon2	#f39574
salmon1	#ff9f7b
brown4	#9e332e
brown3	#d84941
brown2	#f3534a
brown1	#ff5950
firebrick4	#9e2921
firebrick3	#d83b31
firebrick2	#f34438
firebrick1	#ff493d
chocolate4	#9d5717
chocolate3	#d87a25
chocolate2	#f38a2a
chocolate1	#ff922e
tan4	#9d6d38
tan3	#d7974f
tan2	#f2aa5a
tan1	#ffb460
wheat4	#9c9079
wheat3	#d6c5a6
wheat2	#f1debb
wheat1	#ffebc6
burlywood4	#9d8567
burlywood3	#d7b78f
burlywood2	#f2cfa1
burlywood1	#ffdaaa
sienna4	#9d5a31
sienna3	#d87c48
sienna2	#f38d52
sienna1	#ff9558
IndianRed4	#9e4d4a
IndianRed3	#d86b67
IndianRed2	#f37a75
IndianRed1	#ff817c
RosyBrown4	#9d7c7c
RosyBrown3	#d7acab
RosyBrown2	#f2c2c1
RosyBrown1	#ffcdcc
DarkGoldenrod4	#9d7703
DarkGoldenrod3	#d7a407
DarkGoldenrod2	#f2b90a
DarkGoldenrod1	#ffc30b
goldenrod4	#9d7b18
goldenrod3	#d7a924
goldenrod2	#f2bf2b
goldenrod1	#ffca2f
gold4	#9d8600
gold3	#d6b800
gold2	#f2d000
gold1	#ffdc00
yellow4	#9c9a00
yellow3	#d6d300
yellow2	#f1ed00
yellow1	#fefb00
LightYellow4	#9c9c8c
LightYellow3	#d6d5c1
LightYellow2	#f1f0d9
LightYellow1	#fefee5
LightGoldenrod4	#9c925e
LightGoldenrod3	#d6c882
LightGoldenrod2	#f1e193
LightGoldenrod1	#ffee9c
khaki4	#9c9660
khaki3	#d6ce85
khaki2	#f1e896
khaki1	#fff59f
DarkOliveGreen4	#809a4d
DarkOliveGreen3	#b0d36c
DarkOliveGreen2	#c6ee7a
DarkOliveGreen1	#d2fb82
OliveDrab4	#7b992c
OliveDrab3	#a8d240
OliveDrab2	#beed49
OliveDrab1	#c9fa4e
chartreuse4	#539900
chartreuse3	#75d100
chartreuse2	#84ec00
chartreuse1	#8cf900
green4	#009800
green3	#00d100
green2	#00eb00
green1	#00f900
SpringGreen4	#009956
SpringGreen3	#00d279
SpringGreen2	#00ec88
